Unnamed: 0,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,player_id,pts_improvement,ast_improvement,trb_improvement,stl_improvement,blk_improvement,fg%_improvement,3p%_improvement,ft%_improvement,weighted_pts,weighted_ast,weighted_trb,pts_positional_rank,ast_positional_rank,trb_positional_rank,stl_positional_rank,blk_positional_rank,fg%_positional_rank,3p%_positional_rank,ft%_positional_rank,efficiency,efficiency_rank,consistency_score,consistency_rank
1521,Andrew Nembhard,PG,24,IND,68,47,25.0,3.8,7.7,0.498,0.9,2.5,0.357,2.9,5.2,0.567,0.557,0.7,0.8,0.804,0.5,1.5,2.1,4.1,0.9,0.1,1.5,2.1,9.2,2023,34,-0.0315789473684211,-0.088888888888889,-0.2222222222222222,0.0,-0.5,0.129251700680272,0.02,0.0177215189873418,5.52,2.4599999999999995,1.26,53.0,48.0,75.0,50.0,116.0,15.0,69.0,78.0,0.6559999999999999,451.0,0.2121320343559647,11.0
28,Andrew Wiggins,SF,26,GSW,73,73,31.9,6.5,14.0,0.466,2.2,5.5,0.393,4.4,8.5,0.513,0.543,2.0,3.2,0.634,1.2,3.3,4.5,2.2,1.0,0.7,1.5,2.2,17.2,2021,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.22,0.45,16.0,28.0,31.0,31.0,9.0,35.0,20.0,107.0,0.8025078369905956,244.0,2.2810816147900828,421.0
834,Andrew Wiggins,SF,27,GSW,37,37,32.2,6.8,14.3,0.473,2.4,6.1,0.396,4.4,8.2,0.53,0.557,1.2,1.9,0.611,1.6,3.4,5.0,2.3,1.2,0.8,1.3,2.9,17.1,2022,35,-0.0058139534883719,0.0454545454545451,0.1111111111111111,0.1999999999999999,0.142857142857143,0.0150214592274677,0.0076335877862594,-0.0362776025236593,5.13,0.69,1.5,16.0,26.0,18.0,11.0,6.0,43.0,27.0,104.0,0.8198757763975155,221.0,2.2810816147900828,398.0
1522,Andrew Wiggins,SF,28,GSW,71,59,27.0,5.0,11.0,0.453,1.3,3.6,0.358,3.7,7.4,0.498,0.511,2.0,2.7,0.751,1.5,3.0,4.5,1.7,0.6,0.6,1.2,2.1,13.2,2023,35,-0.2280701754385966,-0.2608695652173912,-0.0999999999999999,-0.5,-0.2500000000000001,-0.0422832980972515,-0.095959595959596,0.2291325695581014,7.919999999999999,1.02,2.7,28.0,47.0,28.0,76.0,31.0,65.0,65.0,80.0,0.7629629629629631,285.0,2.2810816147900828,364.0
29,Anfernee Simons,SG,22,POR,57,30,29.5,6.2,14.0,0.443,3.1,7.8,0.405,3.1,6.2,0.49,0.555,1.8,2.0,0.888,0.5,2.2,2.6,3.9,0.5,0.1,2.0,1.9,17.3,2021,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7300000000000002,0.39,0.26,18.0,27.0,90.0,131.0,147.0,63.0,26.0,31.0,0.8271186440677967,216.0,2.731910198621714,521.0
835,Anfernee Simons,SG,23,POR,62,62,35.0,7.5,16.9,0.447,3.4,9.1,0.377,4.1,7.8,0.528,0.548,2.6,2.9,0.894,0.3,2.3,2.6,4.1,0.7,0.2,2.1,2.3,21.1,2022,36,0.2196531791907514,0.0512820512820513,0.0,0.3999999999999999,1.0,0.0090293453724605,-0.0691358024691358,0.0067567567567567,6.33,1.2299999999999998,0.78,11.0,20.0,73.0,71.0,97.0,63.0,66.0,28.0,0.8200000000000001,220.0,2.731910198621714,484.0
1523,Anfernee Simons,SG,24,POR,46,46,34.4,7.8,18.2,0.43,3.4,8.8,0.385,4.4,9.4,0.472,0.523,3.5,3.9,0.916,0.5,3.2,3.6,5.5,0.5,0.1,2.7,2.1,22.6,2023,36,0.0710900473933648,0.3414634146341464,0.3846153846153846,-0.2857142857142857,-0.5,-0.0380313199105145,0.0212201591511935,0.0246085011185681,13.56,3.3,2.16,6.0,7.0,32.0,92.0,130.0,79.0,46.0,15.0,0.9389534883720932,110.0,2.731910198621714,457.0
1524,Anthony Black,PG,20,ORL,69,33,16.9,1.7,3.6,0.466,0.5,1.4,0.394,1.1,2.2,0.51,0.54,0.7,1.2,0.613,0.5,1.5,2.0,1.3,0.5,0.3,0.8,1.6,4.6,2023,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,0.78,1.2,96.0,116.0,79.0,107.0,52.0,31.0,33.0,122.0,0.514792899408284,644.0,0.0,0.0
30,Anthony Davis,C,28,LAL,40,40,35.1,9.3,17.4,0.532,0.3,1.8,0.186,8.9,15.6,0.571,0.542,4.4,6.1,0.713,2.7,7.2,9.9,3.1,1.2,2.3,2.1,2.4,23.2,2021,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,0.31,0.99,4.0,11.0,16.0,4.0,2.0,68.0,70.0,56.0,1.131054131054131,28.0,1.3527749258468689,207.0
836,Anthony Davis,C,29,LAL,56,54,34.0,9.7,17.2,0.563,0.3,1.3,0.257,9.3,15.9,0.589,0.573,6.2,7.9,0.784,3.5,9.1,12.5,2.6,1.1,2.0,2.2,2.6,25.9,2022,38,0.1163793103448276,-0.1612903225806451,0.2626262626262625,-0.0833333333333332,-0.1304347826086955,0.0582706766917291,0.381720430107527,0.0995792426367463,7.77,0.78,3.75,2.0,17.0,1.0,4.0,6.0,59.0,69.0,27.0,1.2970588235294118,10.0,1.3527749258468689,214.0
1525,Anthony Davis,C,30,LAL,76,76,35.5,9.4,16.9,0.556,0.4,1.4,0.271,9.0,15.5,0.582,0.567,5.5,6.8,0.816,3.1,9.5,12.6,3.5,1.2,2.3,2.1,2.3,24.7,2023,38,-0.0463320463320463,0.346153846153846,0.008,0.0909090909090908,0.1499999999999999,-0.0124333925399643,0.0544747081712062,0.040816326530612,14.82,2.1,7.56,3.0,11.0,3.0,12.0,5.0,60.0,54.0,25.0,1.247887323943662,10.0,1.3527749258468689,187.0
