Unnamed: 0,rk,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,pts_improvement,ast_improvement,trb_improvement,stl_improvement,blk_improvement,fg%_improvement,3p%_improvement,ft%_improvement,weighted_pts,weighted_ast,weighted_trb,pts_positional_rank,ast_positional_rank,trb_positional_rank,stl_positional_rank,blk_positional_rank,fg%_positional_rank,3p%_positional_rank,ft%_positional_rank,efficiency,efficiency_rank,consistency_score,consistency_rank
752,558,Dean Wade,PF,25,CLE,51,28,19.2,1.9,4.3,0.456,1.0,2.8,0.359,0.9,1.5,0.64,0.574,0.4,0.6,0.667,0.6,2.3,2.9,1.0,0.6,0.1,0.3,1.7,5.3,2022,,,,,,,,,0.53,0.1,0.29,96.0,74.0,103.0,58.0,134.0,92.0,47.0,96.0,0.515625,678.0,0.3785938897200181,650.0
1652,490,Dean Wade,PF,26,CLE,44,13,20.3,1.7,4.0,0.412,1.0,2.9,0.354,0.6,1.1,0.56,0.54,0.3,0.5,0.652,0.5,3.0,3.4,0.8,0.6,0.5,0.4,2.0,4.7,2023,-0.1132075471698113,-0.19999999999999996,0.17241379310344818,0.0,4.0,-0.09649122807017552,-0.013927576601671321,-0.022488755622188883,1.41,0.24,1.02,85.0,87.0,71.0,53.0,42.0,101.0,52.0,90.0,0.49261083743842365,633.0,0.3785938897200181,625.0
2593,521,Dean Wade,PF,27,CLE,54,32,20.5,1.8,4.3,0.414,1.5,3.7,0.391,0.3,0.6,0.567,0.584,0.4,0.5,0.769,0.7,3.4,4.0,0.8,0.7,0.5,0.4,1.7,5.4,2024,0.14893617021276606,0.0,0.17647058823529416,0.16666666666666674,0.0,0.004854368932038833,0.10451977401129953,0.17944785276073616,3.24,0.48,2.4,82.0,96.0,62.0,62.0,67.0,109.0,36.0,61.0,0.5560975609756097,605.0,0.3785938897200181,612.0
27,22,Deandre Ayton,C,23,PHO,58,58,29.5,7.6,12.0,0.634,0.1,0.3,0.368,7.5,11.7,0.642,0.639,1.8,2.4,0.746,2.6,7.7,10.2,1.4,0.7,0.7,1.6,2.4,17.2,2022,,,,,,,,,1.72,0.13999999999999999,1.02,10.0,38.0,12.0,37.0,58.0,27.0,22.0,41.0,1.0237288135593219,61.0,0.6557438524302007,605.0
1049,17,Deandre Ayton,C,24,PHO,67,67,30.4,7.8,13.2,0.589,0.1,0.4,0.292,7.7,12.9,0.597,0.592,2.3,3.0,0.76,2.6,7.4,10.0,1.7,0.6,0.8,1.8,2.8,18.0,2023,0.04651162790697683,0.2142857142857144,-0.019607843137254832,-0.1428571428571428,0.14285714285714302,-0.07097791798107267,-0.2065217391304348,0.018766756032171594,5.3999999999999995,0.51,3.0,10.0,29.0,10.0,41.0,46.0,53.0,63.0,39.0,1.0230263157894737,60.0,0.6557438524302007,583.0
1947,17,Deandre Ayton,C,25,POR,55,55,32.4,7.8,13.6,0.57,0.0,0.2,0.1,7.7,13.4,0.576,0.571,1.2,1.4,0.823,3.2,7.9,11.1,1.6,1.0,0.8,1.8,2.0,16.7,2024,-0.0722222222222223,-0.05882352941176461,0.10999999999999988,0.6666666666666667,0.0,-0.032258064516129115,-0.6575342465753424,0.08289473684210513,10.02,0.96,6.659999999999999,12.0,35.0,6.0,17.0,51.0,51.0,70.0,20.0,0.962962962962963,96.0,0.6557438524302007,576.0
675,507,Deividas Sirvydis,SG,21,DET,3,0,9.0,0.3,3.3,0.1,0.3,2.3,0.143,0.0,1.0,0.0,0.15,0.0,0.0,0.0,0.0,2.0,2.0,0.3,1.0,0.3,0.0,1.3,1.0,2022,,,,,,,,,0.1,0.03,0.2,181.0,180.0,123.0,37.0,71.0,184.0,168.0,199.0,0.5111111111111111,681.0,,
540,400,Dejounte Murray,PG,25,SAS,68,68,34.8,8.4,18.3,0.462,1.4,4.3,0.327,7.0,13.9,0.504,0.5,2.9,3.6,0.794,1.2,7.1,8.3,9.2,2.0,0.3,2.6,2.0,21.1,2022,,,,,,,,,2.1100000000000003,0.9199999999999999,0.8300000000000001,11.0,5.0,2.0,4.0,60.0,34.0,76.0,79.0,1.1752873563218391,18.0,1.0263202878893767,549.0
1471,351,Dejounte Murray,SG,26,ATL,74,74,36.4,8.3,17.8,0.464,1.8,5.2,0.344,6.5,12.6,0.514,0.514,2.1,2.6,0.832,0.7,4.5,5.3,6.1,1.5,0.3,2.2,1.4,20.5,2023,-0.028436018957346043,-0.3369565217391304,-0.3614457831325302,-0.25,0.0,0.0043290043290042934,0.051987767584097844,0.04785894206549113,6.1499999999999995,1.8299999999999998,1.5899999999999999,14.0,3.0,6.0,8.0,67.0,46.0,111.0,56.0,0.925824175824176,109.0,1.0263202878893767,515.0
2396,363,Dejounte Murray,SG,27,ATL,78,78,35.7,8.6,18.8,0.459,2.6,7.1,0.363,6.0,11.7,0.518,0.528,2.7,3.4,0.794,0.8,4.5,5.3,6.4,1.4,0.3,2.6,1.8,22.5,2024,0.09756097560975618,0.049180327868852514,0.0,-0.06666666666666676,0.0,-0.010775862068965525,0.05523255813953498,-0.04567307692307687,13.5,3.84,3.1799999999999997,8.0,2.0,9.0,5.0,67.0,48.0,68.0,74.0,1.0056022408963583,70.0,1.0263202878893767,527.0
799,597,Delon Wright,SG,29,ATL,77,8,18.9,1.6,3.5,0.454,0.6,1.5,0.379,1.0,2.0,0.51,0.535,0.7,0.8,0.857,0.6,2.2,2.9,2.4,1.2,0.2,0.6,0.7,4.4,2022,,,,,,,,,0.44000000000000006,0.24,0.29,127.0,58.0,74.0,16.0,112.0,46.0,54.0,52.0,0.5873015873015873,595.0,1.3427583550289308,490.0
1700,532,Delon Wright,PG,30,WAS,50,14,24.4,2.8,5.8,0.474,0.8,2.4,0.345,1.9,3.4,0.564,0.545,1.0,1.2,0.867,1.2,2.4,3.6,3.9,1.8,0.3,0.9,1.2,7.4,2023,0.6818181818181817,0.625,0.24137931034482762,0.5,0.4999999999999998,0.044052863436123246,-0.08970976253298157,0.011668611435239118,2.22,1.17,1.08,67.0,52.0,36.0,3.0,58.0,26.0,68.0,28.0,0.6967213114754098,390.0,1.3427583550289308,448.0
